0xa0 @s@s             NO-BREAK SPACE
0x129 ~i             ĩ LATIN SMALL LETTER I WITH TILDE
0x12a -I             Ī LATIN CAPITAL LETTER I WITH MACRON
0x12b -i             ī LATIN SMALL LETTER I WITH MACRON
0x12c )I             Ĭ LATIN CAPITAL LETTER I WITH BREVE
0x12d )i             ĭ LATIN SMALL LETTER I WITH BREVE
0x12e ,I             Į LATIN CAPITAL LETTER I WITH OGONEK
0x12f ,i             į LATIN SMALL LETTER I WITH OGONEK
0x130 .I             İ LATIN CAPITAL LETTER I WITH DOT ABOVE
0x131 .i             ı LATIN SMALL LETTER DOTLESS I
0x132 I+J            Ĳ LATIN CAPITAL LIGATURE IJ
0x133 i+j            ĳ LATIN SMALL LIGATURE IJ
0x134 ^J             Ĵ LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0x135 ^j             ĵ LATIN SMALL LETTER J WITH CIRCUMFLEX
0x136 ,K             Ķ LATIN CAPITAL LETTER K WITH CEDILLA
0x137 ,k             ķ LATIN SMALL LETTER K WITH CEDILLA
0x139 'L             Ĺ LATIN CAPITAL LETTER L WITH ACUTE
0x13a 'l             ĺ LATIN SMALL LETTER L WITH ACUTE
0x13b ,L             Ļ LATIN CAPITAL LETTER L WITH CEDILLA
0x13c ,l             ļ LATIN SMALL LETTER L WITH CEDILLA
0x13d vL             Ľ LATIN CAPITAL LETTER L WITH CARON
0x13e vl             ľ LATIN SMALL LETTER L WITH CARON
0x13f .L             Ŀ LATIN CAPITAL LETTER L WITH MIDDLE DOT
0x140 .l             ŀ LATIN SMALL LETTER L WITH MIDDLE DOT
0x141 L/             Ł LATIN CAPITAL LETTER L WITH STROKE
0x142 l/             ł LATIN SMALL LETTER L WITH STROKE
0x143 'N             Ń LATIN CAPITAL LETTER N WITH ACUTE
0x144 'n             ń LATIN SMALL LETTER N WITH ACUTE
0x145 ,N             Ņ LATIN CAPITAL LETTER N WITH CEDILLA
0x146 ,n             ņ LATIN SMALL LETTER N WITH CEDILLA
0x147 vN             Ň LATIN CAPITAL LETTER N WITH CARON
0x148 vn             ň LATIN SMALL LETTER N WITH CARON
0x14a NG             Ŋ LATIN CAPITAL LETTER ENG
0x14b ng             ŋ LATIN SMALL LETTER ENG
0x14c -O             Ō LATIN CAPITAL LETTER O WITH MACRON
0x14d -o             ō LATIN SMALL LETTER O WITH MACRON
0x14e )O             Ŏ LATIN CAPITAL LETTER O WITH BREVE
0x14f )o             ŏ LATIN SMALL LETTER O WITH BREVE
0x150 =O             Ő LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x151 =o             ő LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x152 OE             Œ LATIN CAPITAL LIGATURE OE
0x153 oe             œ LATIN SMALL LIGATURE OE
0x154 'R             Ŕ LATIN CAPITAL LETTER R WITH ACUTE
0x155 'r             ŕ LATIN SMALL LETTER R WITH ACUTE
