0xa0 @s@s             NO-BREAK SPACE
0x1d88 %p             ᶈ LATIN SMALL LETTER P WITH PALATAL HOOK
0x1d89 %r             ᶉ LATIN SMALL LETTER R WITH PALATAL HOOK
0x1d8a %s             ᶊ LATIN SMALL LETTER S WITH PALATAL HOOK
0x1d8b %@@sh          ᶋ LATIN SMALL LETTER ESH WITH PALATAL HOOK
0x1d8c %v             ᶌ LATIN SMALL LETTER V WITH PALATAL HOOK
0x1d8d %x             ᶍ LATIN SMALL LETTER X WITH PALATAL HOOK
0x1d8e %z             ᶎ LATIN SMALL LETTER Z WITH PALATAL HOOK
0x1d8f ra             ᶏ LATIN SMALL LETTER A WITH RETROFLEX HOOK
0x1d90 r@@ah          ᶐ LATIN SMALL LETTER ALPHA WITH RETROFLEX HOOK
0x1d92 re             ᶒ LATIN SMALL LETTER E WITH RETROFLEX HOOK
0x1d93 r@@ea          ᶓ LATIN SMALL LETTER OPEN E WITH RETROFLEX HOOK
0x1d94 r3             ᶔ LATIN SMALL LETTER REVERSED OPEN E WITH RETROFLEX HOOK
0x1d95 r@@ee          ᶕ LATIN SMALL LETTER SCHWA WITH RETROFLEX HOOK
0x1d96 ri             ᶖ LATIN SMALL LETTER I WITH RETROFLEX HOOK
0x1d97 r@@oa          ᶗ LATIN SMALL LETTER OPEN O WITH RETROFLEX HOOK
0x1d98 r@@sh          ᶘ LATIN SMALL LETTER ESH WITH RETROFLEX HOOK
0x1d99 ru             ᶙ LATIN SMALL LETTER U WITH RETROFLEX HOOK
0x1d9a r@@zh          ᶚ LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
0x1d9b @s@@ao         ᶛ MODIFIER LETTER SMALL TURNED ALPHA
0x1d9c @sc            ᶜ MODIFIER LETTER SMALL C
0x1d9d @s@@cc         ᶝ MODIFIER LETTER SMALL C WITH CURL
0x1d9e @s@@dh         ᶞ MODIFIER LETTER SMALL ETH
0x1da0 @sf            ᶠ MODIFIER LETTER SMALL F
0x1da1 @s@@dj         ᶡ MODIFIER LETTER SMALL DOTLESS J WITH STROKE
0x1da2 @s@@gg         ᶢ MODIFIER LETTER SMALL SCRIPT G
0x1da3 @s@@\h         ᶣ MODIFIER LETTER SMALL TURNED H
0x1da4 @s@@i-         ᶤ MODIFIER LETTER SMALL I WITH STROKE
0x1da6 @s@@;i         ᶦ MODIFIER LETTER SMALL CAPITAL I
0x1da6 @s@@ii         ᶦ MODIFIER LETTER SMALL CAPITAL I
0x1da7 @s@@;@@i-      ᶧ MODIFIER LETTER SMALL CAPITAL I WITH STROKE
0x1da8 @s@@jh         ᶨ MODIFIER LETTER SMALL J WITH CROSSED-TAIL
0x1da9 @s@@rl         ᶩ MODIFIER LETTER SMALL L WITH RETROFLEX HOOK
0x1dab @s@@;l         ᶫ MODIFIER LETTER SMALL CAPITAL L
0x1dac @s@@mv         ᶬ MODIFIER LETTER SMALL M WITH HOOK
0x1dae @s@@nj         ᶮ MODIFIER LETTER SMALL N WITH LEFT HOOK
0x1daf @s@@rn         ᶯ MODIFIER LETTER SMALL N WITH RETROFLEX HOOK
0x1db0 @s@@;n         ᶰ MODIFIER LETTER SMALL CAPITAL N
0x1db1 @s@@o-         ᶱ MODIFIER LETTER SMALL BARRED O
0x1db2 @s@@ph         ᶲ MODIFIER LETTER SMALL PHI
0x1db3 @s@@rs         ᶳ MODIFIER LETTER SMALL S WITH HOOK
0x1db4 @s@@sh         ᶴ MODIFIER LETTER SMALL ESH
0x1db6 @s@@u-         ᶶ MODIFIER LETTER SMALL U BAR
0x1db7 @s@@uu         ᶷ MODIFIER LETTER SMALL UPSILON
0x1db8 @s@@;u         ᶸ MODIFIER LETTER SMALL CAPITAL U
0x1db9 @s@@vw         ᶹ MODIFIER LETTER SMALL V WITH HOOK
0x1dba @s@@\v         ᶺ MODIFIER LETTER SMALL TURNED V
0x1dba @s@@vv         ᶺ MODIFIER LETTER SMALL TURNED V
0x1dbb @sz            ᶻ MODIFIER LETTER SMALL Z
0x1dbc @s@@rz         ᶼ MODIFIER LETTER SMALL Z WITH RETROFLEX HOOK
0x1dbd @s@@cz         ᶽ MODIFIER LETTER SMALL Z WITH CURL
0x1dbe @s@@zh         ᶾ MODIFIER LETTER SMALL EZH
0x1dc4 =@@-'          ᷄ COMBINING MACRON-ACUTE
0x1dc5 =@@`-          ᷅ COMBINING GRAVE-MACRON
0x1dc6 =@@-`          ᷆ COMBINING MACRON-GRAVE
0x1dc7 =@@'-          ᷇ COMBINING ACUTE-MACRON
0x1dc8 =@@`'`         ᷈ COMBINING GRAVE-ACUTE-GRAVE
0x1dc9 =@@'`'         ᷉ COMBINING ACUTE-GRAVE-ACUTE
0x1e00 _0A            Ḁ LATIN CAPITAL LETTER A WITH RING BELOW
0x1e01 _0a            ḁ LATIN SMALL LETTER A WITH RING BELOW
0x1e02 .B             Ḃ LATIN CAPITAL LETTER B WITH DOT ABOVE
0x1e03 .b             ḃ LATIN SMALL LETTER B WITH DOT ABOVE
0x1e04 :B             Ḅ LATIN CAPITAL LETTER B WITH DOT BELOW
0x1e05 :b             ḅ LATIN SMALL LETTER B WITH DOT BELOW
0x1e06 _B             Ḇ LATIN CAPITAL LETTER B WITH LINE BELOW
0x1e07 _b             ḇ LATIN SMALL LETTER B WITH LINE BELOW
0x1e08 ,'C            Ḉ LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
0x1e08 ',C            Ḉ LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
0x1e09 ,'c            ḉ LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
0x1e09 ',c            ḉ LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
0x1e0a .D             Ḋ LATIN CAPITAL LETTER D WITH DOT ABOVE
0x1e0b .d             ḋ LATIN SMALL LETTER D WITH DOT ABOVE
0x1e0c :D             Ḍ LATIN CAPITAL LETTER D WITH DOT BELOW
0x1e0d :d             ḍ LATIN SMALL LETTER D WITH DOT BELOW
0x1e0e _D             Ḏ LATIN CAPITAL LETTER D WITH LINE BELOW
0x1e0f _d             ḏ LATIN SMALL LETTER D WITH LINE BELOW
0x1e10 ,D             Ḑ LATIN CAPITAL LETTER D WITH CEDILLA
0x1e11 ,d             ḑ LATIN SMALL LETTER D WITH CEDILLA
0x1e12 _^D            Ḓ LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
0x1e13 _^d            ḓ LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
0x1e14 `-E            Ḕ LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
0x1e15 `-e            ḕ LATIN SMALL LETTER E WITH MACRON AND GRAVE
0x1e16 '-E            Ḗ LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
0x1e17 '-e            ḗ LATIN SMALL LETTER E WITH MACRON AND ACUTE
0x1e18 _^E            Ḙ LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
0x1e19 _^e            ḙ LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
0x1e1a _~E            Ḛ LATIN CAPITAL LETTER E WITH TILDE BELOW
0x1e1b _~e            ḛ LATIN SMALL LETTER E WITH TILDE BELOW
0x1e1c ),E            Ḝ LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
0x1e1c ,)E            Ḝ LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
0x1e1d ,)e            ḝ LATIN SMALL LETTER E WITH CEDILLA AND BREVE
0x1e1d ),e            ḝ LATIN SMALL LETTER E WITH CEDILLA AND BREVE
0x1e1e .F             Ḟ LATIN CAPITAL LETTER F WITH DOT ABOVE
0x1e1f .f             ḟ LATIN SMALL LETTER F WITH DOT ABOVE
0x1e20 -G             Ḡ LATIN CAPITAL LETTER G WITH MACRON
0x1e21 -g             ḡ LATIN SMALL LETTER G WITH MACRON
0x1e22 .H             Ḣ LATIN CAPITAL LETTER H WITH DOT ABOVE
0x1e23 .h             ḣ LATIN SMALL LETTER H WITH DOT ABOVE
0x1e24 :H             Ḥ LATIN CAPITAL LETTER H WITH DOT BELOW
0x1e25 :h             ḥ LATIN SMALL LETTER H WITH DOT BELOW
0x1e26 "H             Ḧ LATIN CAPITAL LETTER H WITH DIAERESIS
0x1e27 "h             ḧ LATIN SMALL LETTER H WITH DIAERESIS
0x1e28 ,H             Ḩ LATIN CAPITAL LETTER H WITH CEDILLA
0x1e29 ,h             ḩ LATIN SMALL LETTER H WITH CEDILLA
0x1e2a _)H            Ḫ LATIN CAPITAL LETTER H WITH BREVE BELOW
0x1e2b _)h            ḫ LATIN SMALL LETTER H WITH BREVE BELOW
0x1e2c _~I            Ḭ LATIN CAPITAL LETTER I WITH TILDE BELOW
0x1e2d _~i            ḭ LATIN SMALL LETTER I WITH TILDE BELOW
0x1e2e "'I            Ḯ LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
0x1e2f "'i            ḯ LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
0x1e30 'K             Ḱ LATIN CAPITAL LETTER K WITH ACUTE
0x1e31 'k             ḱ LATIN SMALL LETTER K WITH ACUTE
0x1e32 :K             Ḳ LATIN CAPITAL LETTER K WITH DOT BELOW
0x1e33 :k             ḳ LATIN SMALL LETTER K WITH DOT BELOW
0x1e34 _K             Ḵ LATIN CAPITAL LETTER K WITH LINE BELOW
0x1e35 _k             ḵ LATIN SMALL LETTER K WITH LINE BELOW
0x1e36 :L             Ḷ LATIN CAPITAL LETTER L WITH DOT BELOW
0x1e37 :l             ḷ LATIN SMALL LETTER L WITH DOT BELOW
0x1e38 :-L            Ḹ LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
0x1e39 :-l            ḹ LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
0x1e3a _L             Ḻ LATIN CAPITAL LETTER L WITH LINE BELOW
0x1e3b _l             ḻ LATIN SMALL LETTER L WITH LINE BELOW
0x1e3c _^L            Ḽ LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
0x1e3d _^l            ḽ LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
0x1e3e 'M             Ḿ LATIN CAPITAL LETTER M WITH ACUTE
0x1e3f 'm             ḿ LATIN SMALL LETTER M WITH ACUTE
0x1e40 .M             Ṁ LATIN CAPITAL LETTER M WITH DOT ABOVE
0x1e41 .m             ṁ LATIN SMALL LETTER M WITH DOT ABOVE
0x1e42 :M             Ṃ LATIN CAPITAL LETTER M WITH DOT BELOW
0x1e43 :m             ṃ LATIN SMALL LETTER M WITH DOT BELOW
0x1e44 .N             Ṅ LATIN CAPITAL LETTER N WITH DOT ABOVE
0x1e45 .n             ṅ LATIN SMALL LETTER N WITH DOT ABOVE
0x1e46 :N             Ṇ LATIN CAPITAL LETTER N WITH DOT BELOW
0x1e47 :n             ṇ LATIN SMALL LETTER N WITH DOT BELOW
0x1e48 _N             Ṉ LATIN CAPITAL LETTER N WITH LINE BELOW
0x1e49 _n             ṉ LATIN SMALL LETTER N WITH LINE BELOW
0x1e4a _^N            Ṋ LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
0x1e4b _^n            ṋ LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
0x1e4c '~O            Ṍ LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
0x1e4d '~o            ṍ LATIN SMALL LETTER O WITH TILDE AND ACUTE
0x1e4e "~O            Ṏ LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
0x1e4f "~o            ṏ LATIN SMALL LETTER O WITH TILDE AND DIAERESIS
0x1e50 `-O            Ṑ LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
0x1e51 `-o            ṑ LATIN SMALL LETTER O WITH MACRON AND GRAVE
0x1e52 '-O            Ṓ LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
0x1e53 '-o            ṓ LATIN SMALL LETTER O WITH MACRON AND ACUTE
0x1e54 'P             Ṕ LATIN CAPITAL LETTER P WITH ACUTE
0x1e55 'p             ṕ LATIN SMALL LETTER P WITH ACUTE
0x1e56 .P             Ṗ LATIN CAPITAL LETTER P WITH DOT ABOVE
0x1e57 .p             ṗ LATIN SMALL LETTER P WITH DOT ABOVE
0x1e58 .R             Ṙ LATIN CAPITAL LETTER R WITH DOT ABOVE
0x1e59 .r             ṙ LATIN SMALL LETTER R WITH DOT ABOVE
0x1e5a :R             Ṛ LATIN CAPITAL LETTER R WITH DOT BELOW
0x1e5b :r             ṛ LATIN SMALL LETTER R WITH DOT BELOW
0x1e5c :-R            Ṝ LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
0x1e5d :-r            ṝ LATIN SMALL LETTER R WITH DOT BELOW AND MACRON
0x1e5e _R             Ṟ LATIN CAPITAL LETTER R WITH LINE BELOW
0x1e5f _r             ṟ LATIN SMALL LETTER R WITH LINE BELOW
0x1e60 .S             Ṡ LATIN CAPITAL LETTER S WITH DOT ABOVE
0x1e61 .s             ṡ LATIN SMALL LETTER S WITH DOT ABOVE
0x1e62 :S             Ṣ LATIN CAPITAL LETTER S WITH DOT BELOW
0x1e63 :s             ṣ LATIN SMALL LETTER S WITH DOT BELOW
0x1e64 '.S            Ṥ LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
0x1e65 '.s            ṥ LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE
0x1e66 v.S            Ṧ LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
0x1e67 v.s            ṧ LATIN SMALL LETTER S WITH CARON AND DOT ABOVE
0x1e68 .:S            Ṩ LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
0x1e68 :.S            Ṩ LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
0x1e69 .:s            ṩ LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
0x1e69 :.s            ṩ LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE
0x1e6a .T             Ṫ LATIN CAPITAL LETTER T WITH DOT ABOVE
0x1e6b .t             ṫ LATIN SMALL LETTER T WITH DOT ABOVE
0x1e6c :T             Ṭ LATIN CAPITAL LETTER T WITH DOT BELOW
0x1e6d :t             ṭ LATIN SMALL LETTER T WITH DOT BELOW
0x1e6e _T             Ṯ LATIN CAPITAL LETTER T WITH LINE BELOW
0x1e6f _t             ṯ LATIN SMALL LETTER T WITH LINE BELOW
0x1e70 _^T            Ṱ LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
0x1e71 _^t            ṱ LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
0x1e72 _"U            Ṳ LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
0x1e73 _"u            ṳ LATIN SMALL LETTER U WITH DIAERESIS BELOW
0x1e74 _~U            Ṵ LATIN CAPITAL LETTER U WITH TILDE BELOW
0x1e75 _~u            ṵ LATIN SMALL LETTER U WITH TILDE BELOW
0x1e76 _^U            Ṷ LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
0x1e77 _^u            ṷ LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
0x1e78 '~U            Ṹ LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
0x1e79 '~u            ṹ LATIN SMALL LETTER U WITH TILDE AND ACUTE
0x1e7a "-U            Ṻ LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
0x1e7b "-u            ṻ LATIN SMALL LETTER U WITH MACRON AND DIAERESIS
0x1e7c ~V             Ṽ LATIN CAPITAL LETTER V WITH TILDE
0x1e7d ~v             ṽ LATIN SMALL LETTER V WITH TILDE
0x1e7e :V             Ṿ LATIN CAPITAL LETTER V WITH DOT BELOW
0x1e7f :v             ṿ LATIN SMALL LETTER V WITH DOT BELOW
0x1e80 `W             Ẁ LATIN CAPITAL LETTER W WITH GRAVE
0x1e81 `w             ẁ LATIN SMALL LETTER W WITH GRAVE
0x1e82 'W             Ẃ LATIN CAPITAL LETTER W WITH ACUTE
0x1e83 'w             ẃ LATIN SMALL LETTER W WITH ACUTE
0x1e84 "W             Ẅ LATIN CAPITAL LETTER W WITH DIAERESIS
0x1e85 "w             ẅ LATIN SMALL LETTER W WITH DIAERESIS
0x1e86 .W             Ẇ LATIN CAPITAL LETTER W WITH DOT ABOVE
0x1e87 .w             ẇ LATIN SMALL LETTER W WITH DOT ABOVE
0x1e88 :W             Ẉ LATIN CAPITAL LETTER W WITH DOT BELOW
0x1e89 :w             ẉ LATIN SMALL LETTER W WITH DOT BELOW
0x1e8a .X             Ẋ LATIN CAPITAL LETTER X WITH DOT ABOVE
0x1e8b .x             ẋ LATIN SMALL LETTER X WITH DOT ABOVE
0x1e8c "X             Ẍ LATIN CAPITAL LETTER X WITH DIAERESIS
0x1e8d "x             ẍ LATIN SMALL LETTER X WITH DIAERESIS
0x1e8e .Y             Ẏ LATIN CAPITAL LETTER Y WITH DOT ABOVE
0x1e8f .y             ẏ LATIN SMALL LETTER Y WITH DOT ABOVE
0x1e90 ^Z             Ẑ LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
0x1e91 ^z             ẑ LATIN SMALL LETTER Z WITH CIRCUMFLEX
0x1e92 :Z             Ẓ LATIN CAPITAL LETTER Z WITH DOT BELOW
0x1e93 :z             ẓ LATIN SMALL LETTER Z WITH DOT BELOW
0x1e94 _Z             Ẕ LATIN CAPITAL LETTER Z WITH LINE BELOW
0x1e95 _z             ẕ LATIN SMALL LETTER Z WITH LINE BELOW
0x1e96 _h             ẖ LATIN SMALL LETTER H WITH LINE BELOW
0x1e97 "t             ẗ LATIN SMALL LETTER T WITH DIAERESIS
0x1e98 0w             ẘ LATIN SMALL LETTER W WITH RING ABOVE
0x1e99 0y             ẙ LATIN SMALL LETTER Y WITH RING ABOVE
0x1e9e SS             ẞ LATIN CAPITAL LETTER SHARP S
0x1e9f ld             ẟ LATIN SMALL LETTER DELTA
0x1ea0 :A             Ạ LATIN CAPITAL LETTER A WITH DOT BELOW
0x1ea1 :a             ạ LATIN SMALL LETTER A WITH DOT BELOW
0x1ea2 ?A             Ả LATIN CAPITAL LETTER A WITH HOOK ABOVE
0x1ea3 ?a             ả LATIN SMALL LETTER A WITH HOOK ABOVE
0x1ea4 ^'A            Ấ LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
0x1ea5 ^'a            ấ LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
0x1ea6 ^`A            Ầ LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
0x1ea7 ^`a            ầ LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
0x1ea8 ^?A            Ẩ LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0x1ea9 ^?a            ẩ LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0x1eaa ^~A            Ẫ LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
0x1eab ^~a            ẫ LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
0x1eac :^A            Ậ LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x1eac ^:A            Ậ LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x1ead ^:a            ậ LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x1ead :^a            ậ LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x1eae )'A            Ắ LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
0x1eaf )'a            ắ LATIN SMALL LETTER A WITH BREVE AND ACUTE
0x1eb0 )`A            Ằ LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
0x1eb1 )`a            ằ LATIN SMALL LETTER A WITH BREVE AND GRAVE
0x1eb2 )?A            Ẳ LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
0x1eb3 )?a            ẳ LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
0x1eb4 )~A            Ẵ LATIN CAPITAL LETTER A WITH BREVE AND TILDE
0x1eb5 )~a            ẵ LATIN SMALL LETTER A WITH BREVE AND TILDE
0x1eb6 ):A            Ặ LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
0x1eb6 :)A            Ặ LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
0x1eb7 :)a            ặ LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
0x1eb7 ):a            ặ LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
0x1eb8 :E             Ẹ LATIN CAPITAL LETTER E WITH DOT BELOW
0x1eb9 :e             ẹ LATIN SMALL LETTER E WITH DOT BELOW
0x1eba ?E             Ẻ LATIN CAPITAL LETTER E WITH HOOK ABOVE
0x1ebb ?e             ẻ LATIN SMALL LETTER E WITH HOOK ABOVE
0x1ebc ~E             Ẽ LATIN CAPITAL LETTER E WITH TILDE
0x1ebd ~e             ẽ LATIN SMALL LETTER E WITH TILDE
0x1ebe ^'E            Ế LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
0x1ebf ^'e            ế LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
0x1ec0 ^`E            Ề LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
0x1ec1 ^`e            ề LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
0x1ec2 ^?E            Ể LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
0x1ec3 ^?e            ể LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
0x1ec4 ^~E            Ễ LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
0x1ec5 ^~e            ễ LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
0x1ec6 :^E            Ệ LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x1ec6 ^:E            Ệ LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x1ec7 ^:e            ệ LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x1ec7 :^e            ệ LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x1ec8 ?I             Ỉ LATIN CAPITAL LETTER I WITH HOOK ABOVE
0x1ec9 ?i             ỉ LATIN SMALL LETTER I WITH HOOK ABOVE
0x1eca :I             Ị LATIN CAPITAL LETTER I WITH DOT BELOW
0x1ecb :i             ị LATIN SMALL LETTER I WITH DOT BELOW
0x1ecc :O             Ọ LATIN CAPITAL LETTER O WITH DOT BELOW
0x1ecd :o             ọ LATIN SMALL LETTER O WITH DOT BELOW
0x1ece ?O             Ỏ LATIN CAPITAL LETTER O WITH HOOK ABOVE
0x1ecf ?o             ỏ LATIN SMALL LETTER O WITH HOOK ABOVE
0x1ed0 ^'O            Ố LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
0x1ed1 ^'o            ố LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
0x1ed2 ^`O            Ồ LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
0x1ed3 ^`o            ồ LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
0x1ed4 ^?O            Ổ LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
0x1ed5 ^?o            ổ LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
0x1ed6 ^~O            Ỗ LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
0x1ed7 ^~o            ỗ LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
0x1ed8 :^O            Ộ LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0x1ed8 ^:O            Ộ LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0x1ed9 :^o            ộ LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0x1ed9 ^:o            ộ LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0x1ee4 :U             Ụ LATIN CAPITAL LETTER U WITH DOT BELOW
0x1ee5 :u             ụ LATIN SMALL LETTER U WITH DOT BELOW
0x1ef2 `Y             Ỳ LATIN CAPITAL LETTER Y WITH GRAVE
0x1ef3 `y             ỳ LATIN SMALL LETTER Y WITH GRAVE
0x1ef4 :Y             Ỵ LATIN CAPITAL LETTER Y WITH DOT BELOW
0x1ef5 :y             ỵ LATIN SMALL LETTER Y WITH DOT BELOW
0x1ef8 ~Y             Ỹ LATIN CAPITAL LETTER Y WITH TILDE
0x1ef9 ~y             ỹ LATIN SMALL LETTER Y WITH TILDE
0x200b zwsp           ​ ZERO WIDTH SPACE
0x2010 hy             ‐ HYPHEN
0x2018 '6             ‘ LEFT SINGLE QUOTATION MARK
0x2019 '9             ’ RIGHT SINGLE QUOTATION MARK
0x201c "6             “ LEFT DOUBLE QUOTATION MARK
0x201d "9             ” RIGHT DOUBLE QUOTATION MARK
0x2020 dg             † DAGGER
0x2021 2dg            ‡ DOUBLE DAGGER
0x2022 bt             • BULLET
0x2026 .+.            … HORIZONTAL ELLIPSIS
0x203d ?!             ‽ INTERROBANG
0x203d !?             ‽ INTERROBANG
0x203f ut             ‿ UNDERTIE
0x2070 @s0            ⁰ SUPERSCRIPT ZERO
0x2071 @si            ⁱ SUPERSCRIPT LATIN SMALL LETTER I
0x2074 @s4            ⁴ SUPERSCRIPT FOUR
0x2075 @s5            ⁵ SUPERSCRIPT FIVE
0x2076 @s6            ⁶ SUPERSCRIPT SIX
0x2077 @s7            ⁷ SUPERSCRIPT SEVEN
0x2078 @s8            ⁸ SUPERSCRIPT EIGHT
0x2079 @s9            ⁹ SUPERSCRIPT NINE
0x207a ^+             ⁺ SUPERSCRIPT PLUS SIGN
0x207b ^-             ⁻ SUPERSCRIPT MINUS
0x207c ^=             ⁼ SUPERSCRIPT EQUALS SIGN
0x207d ^(             ⁽ SUPERSCRIPT LEFT PARENTHESIS
0x207e ^)             ⁾ SUPERSCRIPT RIGHT PARENTHESIS
0x207f @sn            ⁿ SUPERSCRIPT LATIN SMALL LETTER N
0x2080 *0             ₀ SUBSCRIPT ZERO
0x2081 *1             ₁ SUBSCRIPT ONE
0x2082 *2             ₂ SUBSCRIPT TWO
0x2083 *3             ₃ SUBSCRIPT THREE
0x2084 *4             ₄ SUBSCRIPT FOUR
0x2085 *5             ₅ SUBSCRIPT FIVE
0x2086 *6             ₆ SUBSCRIPT SIX
0x2087 *7             ₇ SUBSCRIPT SEVEN
0x2088 *8             ₈ SUBSCRIPT EIGHT
0x2089 *9             ₉ SUBSCRIPT NINE
0x208a *+             ₊ SUBSCRIPT PLUS SIGN
0x208c *=             ₌ SUBSCRIPT EQUALS SIGN
0x208d *(             ₍ SUBSCRIPT LEFT PARENTHESIS
0x208e *)             ₎ SUBSCRIPT RIGHT PARENTHESIS
0x2090 *a             ₐ LATIN SUBSCRIPT SMALL LETTER A
0x2091 *e             ₑ LATIN SUBSCRIPT SMALL LETTER E
0x2092 *o             ₒ LATIN SUBSCRIPT SMALL LETTER O
0x2093 *x             ₓ LATIN SUBSCRIPT SMALL LETTER X
0x2094 *@@ee          ₔ LATIN SUBSCRIPT SMALL LETTER SCHWA
0x2095 *h             ₕ LATIN SUBSCRIPT SMALL LETTER H
0x2096 *k             ₖ LATIN SUBSCRIPT SMALL LETTER K
0x2097 *l             ₗ LATIN SUBSCRIPT SMALL LETTER L
0x2098 *m             ₘ LATIN SUBSCRIPT SMALL LETTER M
0x2099 *n             ₙ LATIN SUBSCRIPT SMALL LETTER N
0x209a *p             ₚ LATIN SUBSCRIPT SMALL LETTER P
0x209b *s             ₛ LATIN SUBSCRIPT SMALL LETTER S
0x209c *t             ₜ LATIN SUBSCRIPT SMALL LETTER T
0x20ac $E             € EURO SIGN
